,b3C9s_j0v1yls8,b3C9s_l4z6od7y,g7R2j_e0v1yls8,g7R2j_j1g8gd3v,k4W1c_h5r6nux7,m3D1v_r1d7fr3l,m3D1v_t0v5ts9h,m3D1v_v3d9is1x,r8S3g_l0p5viby,r8S3g_n0m9rsw4,s8Y2f_v4x8by9j,t5V9e_e1k6cixp,y9W5d_c0w4mj5h,y9W5d_e2j7p95s,y9W5d_p8g6dgtv
ce1a32f22b91f4d81015,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
cnkddx6ofjqd7ueylz0e,1.0,0.5,0.75,1.0,0.0,0.48148148148148145,1.0,1.0,0.5,0.5,0.0,0.6,0.5416666666666666,1.0,1.0
cuwakm24vlp785ky5w71,0.5,1.0,0.6666666666666666,1.0,0.0,0.4444444444444444,1.0,0.16666666666666666,0.5,0.5,0.0,0.6,0.6666666666666666,1.0,0.16666666666666666
d0a933a514028d777578,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
d2403aa287eb869a170a,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
dc83f9577ae72447a7b1,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e23ada44d3eac9b465d2,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e324cc9cb52a2b3cb9cb,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e37bbe9fe37f92b785d9,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e716574233e87591ff19,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e89cdaa3f159a0d3f55e,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
exj3a7hd6gwihbowgm3w,0.5,1.0,0.9166666666666666,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.0,0.5
f058870b1bc33e288e82,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
f06c3ddb1a98713eeb32,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
fb4411db1aac3cd2544b,1.0,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
ff59855075a6bc39d62b,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
fvurnsqlgyr9zbd6msqs,1.0,0.5,0.6666666666666666,0.0,0.0,0.37037037037037035,1.0,0.5,0.5,0.5,0.0,0.3,0.5416666666666666,0.0,0.5
i21qi5qdsjqcch2xvdd5,1.0,0.5,0.5,0.0,0.0,0.5555555555555556,0.0,0.8333333333333334,0.0,0.5,0.0,0.5,0.9583333333333334,1.0,0.5
ifj584ryrjv639n4nnsu,0.5,0.5,0.5833333333333334,1.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.0,0.8,0.75,1.0,0.5
isa355t9q5rut5fm8aml,0.5,1.0,0.5833333333333334,1.0,0.0,0.1111111111111111,1.0,0.3333333333333333,0.5,0.75,0.0,0.9,0.875,1.0,0.3333333333333333
jwdjcrxdn0um79f0rjvw,1.0,1.0,0.9166666666666666,1.0,0.0,0.4074074074074074,1.0,0.5,0.0,0.75,0.0,0.7,0.625,1.0,1.0
k4usquerebza4uy0i57h,0.5,0.5,0.75,1.0,0.0,0.18518518518518517,1.0,1.0,0.5,0.0,0.0,0.3,0.625,1.0,0.8333333333333334
lzvutqpj9ggc0nwwsxcv,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.4074074074074074,1.0,0.6666666666666666,0.0,0.0,0.0,0.7,0.4166666666666667,1.0,0.5
o5lo8q4tb8yt0v8imkw4,1.0,0.8333333333333334,0.75,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.0,0.0,0.6,0.5,1.0,1.0
oit2xadfbpuveswzx4pf,1.0,0.5,0.5,1.0,0.0,0.25925925925925924,0.6666666666666666,0.0,0.0,0.75,0.0,0.4,0.875,1.0,0.5
oppl3ojvw61dvd5yw1wl,1.0,0.5,0.75,0.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.0,0.7,0.75,1.0,1.0
pr6b1twg5sgsrzek6adi,1.0,0.3333333333333333,0.75,1.0,0.0,0.2962962962962963,1.0,1.0,0.0,0.5,0.0,0.5,0.7083333333333334,1.0,0.0
qw1seyo5nrhlm8vby58w,1.0,0.3333333333333333,0.5,1.0,0.0,0.2962962962962963,1.0,0.5,0.5,0.25,0.0,0.4,0.7083333333333334,1.0,0.8333333333333334
qz6jjynwbd3szlp0rj04,0.0,1.0,0.16666666666666666,0.0,0.0,0.5555555555555556,1.0,0.0,0.5,0.75,0.0,0.7,0.7083333333333334,0.3333333333333333,1.0
s0vfgmhobw9jq6al8iww,0.0,0.3333333333333333,0.9166666666666666,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.5,0.0,0.7,0.7916666666666666,0.6666666666666666,1.0
styld7k1gge5cvjria5b,1.0,0.5,0.5833333333333334,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.5,1.0,0.0,0.5,0.7916666666666666,0.0,0.5
t3wo8xb4rq94n3fpfk35,0.5,1.0,0.75,0.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.5,0.0,1.0,0.75,1.0,1.0
uvh2zil455wi0dcdan51,1.0,1.0,0.4166666666666667,1.0,0.0,0.5925925925925926,1.0,0.5,0.5,0.25,0.0,0.7,0.7083333333333334,1.0,0.3333333333333333
vhlntoniujqiclub2juy,1.0,0.0,0.5833333333333334,1.0,0.0,0.5555555555555556,0.0,0.0,0.5,0.5,0.0,0.5,0.625,1.0,1.0
wwh529n48kyjq1xe9h46,1.0,0.5,0.8333333333333334,1.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.5,0.5416666666666666,0.3333333333333333,0.5
xh8a7nmtz192pknhec33,0.0,1.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.6666666666666666,0.5,0.0,0.75,0.0,0.8,0.5,0.0,0.5
zeuj2ypen39p38d4m3oj,0.5,1.0,0.4166666666666667,0.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.0,0.6,0.3333333333333333,0.0,0.6666666666666666
zlaig56ve06t7jruk2mr,1.0,1.0,0.5,1.0,0.0,0.5185185185185185,0.0,0.0,0.5,0.5,0.0,1.0,0.9166666666666666,0.6666666666666666,1.0
