,b3C9s,g7R2j,k4W1c,m3D1v,r8S3g,s8Y2f,t5V9e,y9W5d
580e98185da72b5f34cd,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
5d89810b20079366fcc2,1.0,0.6,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
5gs9643ghg39gpkgi3e5,0.7,0.7333333333333333,0.0,0.25,0.16666666666666666,0.0,0.7,0.6666666666666666
63eef37311aaac915a45,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
64d1d58d40bca568347c,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
6e7d56f652020f046204,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
6o68qswzkvrrtbiz6bzr,1.0,0.8,0.0,0.5833333333333334,0.6666666666666666,0.0,0.8,0.7272727272727273
7086b49d3d6c2cf79c1a,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
75c2677c8d156032e303,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
79cvflltnemb9zpg6pgl,0.6,0.8,0.0,0.6388888888888888,0.3333333333333333,0.0,0.4,0.5757575757575758
79ea7a2f63285f2fe26b,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
81c4c46f19cb21d54bbb,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
86215294b080f19af22f,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
876aca2b8ce1958ea773,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
8777bd09f180d330b147,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
8979427badebb9e2bd10,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
8b1fbc97391699e46cef,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
8b6d1125760bd3939b6e,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
8cvzwcc62ql4rqj0pyzl,0.9,0.5333333333333333,0.0,0.5833333333333334,0.6666666666666666,0.0,0.9,0.696969696969697
8d422b817027d7721870,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
91ybnlkli8x332l13rrk,0.6,0.7333333333333333,0.0,0.3611111111111111,0.3333333333333333,0.0,0.8,0.696969696969697
9417c1b4c24e428984bc,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
98e10f84d94623f8b39e,0.7,0.5333333333333333,0.0,0.75,0.8333333333333334,0.0,0.9,0.9090909090909091
99d6b8a1cc0020112951,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
9ea29e4a747ea4a7c70a,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
9wax6sfj9cuqbbxc95om,0.7,0.5333333333333333,0.0,0.4166666666666667,0.5,0.0,1.0,0.5757575757575758
a1fa76b5d99a411d6649,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
a8eea517e36b20757b2e,1.0,0.2,0.0,0.75,0.8333333333333334,0.0,1.0,0.8181818181818182
ao2x473zwn7k7a6gpfr9,0.4,1.0,0.0,0.6944444444444444,0.5,0.0,0.7,0.6666666666666666
b345ecad87a7fbac77ce,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
b79c2d9d8148403a3720,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
bab3d23935ae4f8e798c,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
bca2be7a89b9b36b45cc,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
be503fccbf0ae5532639,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
c00c91256ab1777d0dbc,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
c57c5ca2df494f27ca64,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
cac3f85073c947532796,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
cd6355bf939a47577f6d,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
ce1a32f22b91f4d81015,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
cnkddx6ofjqd7ueylz0e,0.7,0.8,0.0,0.6111111111111112,0.5,0.0,0.6,0.6666666666666666
cuwakm24vlp785ky5w71,0.8,0.7333333333333333,0.0,0.4444444444444444,0.5,0.0,0.6,0.6060606060606061
d0a933a514028d777578,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
d2403aa287eb869a170a,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
dc83f9577ae72447a7b1,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
e23ada44d3eac9b465d2,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
e324cc9cb52a2b3cb9cb,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
e37bbe9fe37f92b785d9,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
e716574233e87591ff19,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
e89cdaa3f159a0d3f55e,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
exj3a7hd6gwihbowgm3w,0.8,0.7333333333333333,0.0,0.2222222222222222,0.16666666666666666,0.0,1.0,0.45454545454545453
f058870b1bc33e288e82,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
f06c3ddb1a98713eeb32,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
fb4411db1aac3cd2544b,0.7,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
ff59855075a6bc39d62b,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
fvurnsqlgyr9zbd6msqs,0.7,0.5333333333333333,0.0,0.4444444444444444,0.5,0.0,0.3,0.48484848484848486
i21qi5qdsjqcch2xvdd5,0.7,0.4,0.0,0.5555555555555556,0.3333333333333333,0.0,0.5,0.8787878787878788
ifj584ryrjv639n4nnsu,0.5,0.6666666666666666,0.0,0.5,0.5,0.0,0.8,0.7272727272727273
isa355t9q5rut5fm8aml,0.8,0.6666666666666666,0.0,0.2222222222222222,0.6666666666666666,0.0,0.9,0.7878787878787878
jwdjcrxdn0um79f0rjvw,1.0,0.9333333333333333,0.0,0.4722222222222222,0.5,0.0,0.7,0.7272727272727273
k4usquerebza4uy0i57h,0.5,0.8,0.0,0.3888888888888889,0.16666666666666666,0.0,0.3,0.696969696969697
lzvutqpj9ggc0nwwsxcv,0.6,0.7333333333333333,0.0,0.5,0.0,0.0,0.7,0.48484848484848486
o5lo8q4tb8yt0v8imkw4,0.9,0.8,0.0,0.4166666666666667,0.16666666666666666,0.0,0.6,0.6363636363636364
oit2xadfbpuveswzx4pf,0.7,0.6,0.0,0.25,0.5,0.0,0.4,0.8181818181818182
oppl3ojvw61dvd5yw1wl,0.7,0.6,0.0,0.4166666666666667,0.5,0.0,0.7,0.8181818181818182
pr6b1twg5sgsrzek6adi,0.6,0.8,0.0,0.4722222222222222,0.3333333333333333,0.0,0.5,0.6060606060606061
qw1seyo5nrhlm8vby58w,0.6,0.6,0.0,0.3888888888888889,0.3333333333333333,0.0,0.4,0.7575757575757576
qz6jjynwbd3szlp0rj04,0.6,0.13333333333333333,0.0,0.5,0.6666666666666666,0.0,0.7,0.7272727272727273
s0vfgmhobw9jq6al8iww,0.2,0.7333333333333333,0.0,0.25,0.3333333333333333,0.0,0.7,0.8181818181818182
styld7k1gge5cvjria5b,0.7,0.6,0.0,0.4166666666666667,0.8333333333333334,0.0,0.5,0.6666666666666666
t3wo8xb4rq94n3fpfk35,0.8,0.6,0.0,0.4166666666666667,0.3333333333333333,0.0,1.0,0.8181818181818182
uvh2zil455wi0dcdan51,1.0,0.5333333333333333,0.0,0.6111111111111112,0.3333333333333333,0.0,0.7,0.6666666666666666
vhlntoniujqiclub2juy,0.4,0.6666666666666666,0.0,0.4166666666666667,0.5,0.0,0.5,0.7272727272727273
wwh529n48kyjq1xe9h46,0.7,0.8666666666666667,0.0,0.3888888888888889,0.6666666666666666,0.0,0.5,0.5151515151515151
xh8a7nmtz192pknhec33,0.6,0.26666666666666666,0.0,0.4722222222222222,0.5,0.0,0.8,0.45454545454545453
zeuj2ypen39p38d4m3oj,0.8,0.3333333333333333,0.0,0.5,0.5,0.0,0.6,0.36363636363636365
zlaig56ve06t7jruk2mr,1.0,0.6,0.0,0.3888888888888889,0.5,0.0,1.0,0.9090909090909091
